UNITID,NPT41_PUB,NPT41_PRIV,NPT41_PROG,NPT41_OTHER,COSTT4_A,COSTT4_P,UGDS
166513,9978,NULL,NULL,NULL,22861,NULL,11830
166586,NULL,15506,NULL,NULL,NULL,19426,38
166595,NULL,13678,NULL,NULL,NULL,17090,60
166601,NULL,20385,NULL,NULL,24949,NULL,173
166629,12116,NULL,NULL,NULL,25665,NULL,21672
166638,7634,NULL,NULL,NULL,19763,NULL,11786
166647,10829,NULL,NULL,NULL,16109,NULL,4573
166656,NULL,28944,NULL,NULL,43966,NULL,3808
166674,15601,NULL,NULL,NULL,25384,NULL,1861
166683,NULL,5554,NULL,NULL,57010,NULL,4510
166692,7115,NULL,NULL,NULL,22420,NULL,1362
166708,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166717,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166805,NULL,11304,NULL,NULL,NULL,15998,91
166823,7840,NULL,NULL,NULL,13154,NULL,7034
166850,NULL,23582,NULL,NULL,46532,NULL,2722
166869,NULL,NULL,NULL,NULL,NULL,NULL,160
166887,2799,NULL,NULL,NULL,8397,NULL,8871
166911,NULL,19634,NULL,NULL,37866,NULL,378
166939,NULL,13169,NULL,NULL,55496,NULL,2154
166948,NULL,24607,NULL,NULL,41565,NULL,1261
166957,6853,NULL,NULL,NULL,13092,NULL,4222
166975,NULL,21317,NULL,NULL,NULL,24012,210
166984,NULL,35501,NULL,NULL,52303,NULL,340
167020,NULL,20653,NULL,NULL,NULL,25805,369
167039,NULL,14589,NULL,NULL,NULL,18935,27
167057,NULL,31205,NULL,NULL,54125,NULL,410
167093,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167181,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167215,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167224,NULL,40934,NULL,NULL,45733,NULL,66
167251,NULL,21638,NULL,NULL,40611,NULL,961
167260,NULL,23877,NULL,NULL,44886,NULL,1260
167288,11550,NULL,NULL,NULL,20025,NULL,1483
167297,NULL,28169,NULL,NULL,NULL,30069,161
167312,7345,NULL,NULL,NULL,12526,NULL,7053
167321,NULL,26848,NULL,NULL,33728,NULL,779
167358,NULL,18570,NULL,NULL,55914,NULL,13204
167376,7095,NULL,NULL,NULL,12455,NULL,6746
167394,NULL,16839,NULL,NULL,40802,NULL,1308
167455,NULL,12652,NULL,NULL,36852,NULL,221
167464,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167525,10813,NULL,NULL,NULL,15981,NULL,4025
167534,5000,NULL,NULL,NULL,10587,NULL,7647
167598,NULL,33692,NULL,NULL,47432,NULL,1188
167631,2121,NULL,NULL,NULL,7312,NULL,2216
167677,NULL,NULL,NULL,NULL,NULL,NULL,35
167729,11182,NULL,NULL,NULL,20601,NULL,7134
167738,NULL,23418,NULL,NULL,NULL,27771,697
167783,NULL,21049,NULL,NULL,51093,NULL,1710
167792,NULL,26399,NULL,NULL,59385,NULL,344
167835,NULL,8438,NULL,NULL,57913,NULL,2606
167871,7588,NULL,NULL,NULL,NULL,15113,112
167899,NULL,19559,NULL,NULL,44829,NULL,2157
167905,8266,NULL,NULL,NULL,13496,NULL,6281
167987,11896,NULL,NULL,NULL,23763,NULL,7202
167996,NULL,19500,NULL,NULL,50677,NULL,2473
168005,NULL,22567,NULL,NULL,45280,NULL,5535
168032,NULL,12820,NULL,NULL,NULL,17118,37
168148,NULL,10325,NULL,NULL,58752,NULL,5146
168218,NULL,10495,NULL,NULL,57164,NULL,2347
168227,NULL,24900,NULL,NULL,43850,NULL,3975
168254,NULL,23656,NULL,NULL,45850,NULL,2648
168263,11609,NULL,NULL,NULL,19468,NULL,5524
168281,NULL,19202,NULL,NULL,56934,NULL,1640
168290,NULL,23864,NULL,NULL,45591,NULL,839
168342,NULL,7478,NULL,NULL,59412,NULL,2051
168421,NULL,26228,NULL,NULL,55866,NULL,4012
168430,10397,NULL,NULL,NULL,18494,NULL,5033
168528,NULL,15774,NULL,NULL,40199,NULL,1616
168546,NULL,18614,NULL,NULL,45690,NULL,1284
168555,NULL,5549,NULL,NULL,NULL,9483,35
168573,NULL,24506,NULL,NULL,NULL,29725,406
168591,NULL,14985,NULL,NULL,43157,NULL,1385
168607,1688,NULL,NULL,NULL,7229,NULL,1418
168740,NULL,16210,NULL,NULL,33653,NULL,1765
168786,NULL,10730,NULL,NULL,34593,NULL,1843
168838,NULL,10668,NULL,NULL,18035,NULL,2726
168847,NULL,10953,NULL,NULL,18241,NULL,4886
168883,6035,NULL,NULL,NULL,12614,NULL,2024
168892,NULL,3502,NULL,NULL,NULL,7166,41
169071,NULL,6819,NULL,NULL,NULL,11841,39
169080,NULL,16979,NULL,NULL,39013,NULL,3895
169099,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169187,NULL,13936,NULL,NULL,17746,NULL,241
169220,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169248,10107,NULL,NULL,NULL,21523,NULL,20070
169275,6481,NULL,NULL,NULL,12138,NULL,8349
169284,NULL,11877,NULL,NULL,NULL,16261,365
169327,NULL,12957,NULL,NULL,17823,NULL,450
169363,NULL,17177,NULL,NULL,33441,NULL,529
169424,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169442,NULL,33268,NULL,NULL,46095,NULL,1352
169479,NULL,17354,NULL,NULL,25439,NULL,7119
169503,NULL,11540,NULL,NULL,NULL,15880,225
169521,2625,NULL,NULL,NULL,8696,NULL,8664
169576,NULL,NULL,NULL,NULL,NULL,NULL,76
169628,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169655,NULL,11583,NULL,NULL,16919,NULL,469
169716,NULL,24451,NULL,NULL,48027,NULL,2871
169734,NULL,25349,NULL,NULL,30517,NULL,203
169761,NULL,24550,NULL,NULL,28379,NULL,145
169798,10938,NULL,NULL,NULL,18905,NULL,18543
169910,9469,NULL,NULL,NULL,21498,NULL,12646
169947,NULL,4779,NULL,NULL,NULL,8914,56
169974,5072,NULL,NULL,NULL,10394,NULL,709
169983,NULL,26542,NULL,NULL,49303,NULL,1640
169992,6822,NULL,NULL,NULL,12540,NULL,948
170000,NULL,11014,NULL,NULL,20912,NULL,576
170037,NULL,15310,NULL,NULL,33912,NULL,2100
170046,NULL,24184,NULL,NULL,NULL,29589,576
170055,3170,NULL,NULL,NULL,8382,NULL,15635
170082,11159,NULL,NULL,NULL,21512,NULL,21137
170091,NULL,16943,NULL,NULL,25506,NULL,194
170240,4503,NULL,NULL,NULL,9498,NULL,12421
170301,NULL,14183,NULL,NULL,38593,NULL,3296
170417,NULL,22446,NULL,NULL,26994,NULL,343
170444,5356,NULL,NULL,NULL,11636,NULL,5180
170514,NULL,NULL,NULL,NULL,NULL,6773,84
170532,NULL,10326,NULL,NULL,48547,NULL,1427
170541,4955,NULL,NULL,NULL,10156,NULL,9139
170550,3552,NULL,NULL,NULL,9222,NULL,4986
170587,6419,NULL,NULL,NULL,11482,NULL,1547
170611,NULL,4888,NULL,NULL,NULL,10895,117
170620,5916,NULL,NULL,NULL,11762,NULL,3252
170639,7064,NULL,NULL,NULL,19571,NULL,2299
170657,6133,NULL,NULL,NULL,11373,NULL,13947
170675,NULL,24074,NULL,NULL,39890,NULL,3033
170736,NULL,2122,NULL,NULL,NULL,7239,82
170790,6853,NULL,NULL,NULL,10964,NULL,13619
170806,NULL,8862,NULL,NULL,22629,NULL,3080
170842,NULL,12147,NULL,NULL,25733,NULL,1041
170967,NULL,18084,NULL,NULL,26399,NULL,960
170976,5529,NULL,NULL,NULL,25760,NULL,28077
171012,NULL,8079,NULL,NULL,NULL,11931,163
171100,6293,NULL,NULL,NULL,23740,NULL,37622
171128,9204,NULL,NULL,NULL,24724,NULL,5536
171137,6386,NULL,NULL,NULL,15831,NULL,6793
171146,7952,NULL,NULL,NULL,16731,NULL,6746
171155,4736,NULL,NULL,NULL,10136,NULL,3098
171225,3548,NULL,NULL,NULL,7479,NULL,2285
171234,5325,NULL,NULL,NULL,10782,NULL,1643
171261,NULL,9762,NULL,NULL,NULL,13169,117
171298,NULL,12596,NULL,NULL,18466,NULL,3988
171304,4151,NULL,NULL,NULL,9042,NULL,3798
171313,NULL,24890,NULL,NULL,NULL,29177,459
171322,NULL,22122,NULL,NULL,NULL,27422,1003
171395,757,NULL,NULL,NULL,6204,NULL,2466
171456,8984,NULL,NULL,NULL,18466,NULL,7959
171465,NULL,16519,NULL,NULL,NULL,19504,41
171483,7581,NULL,NULL,NULL,12840,NULL,4241
171492,NULL,10993,NULL,NULL,32803,NULL,2920
171535,4353,NULL,NULL,NULL,10055,NULL,15304
171571,7311,NULL,NULL,NULL,19198,NULL,16113
171599,NULL,16117,NULL,NULL,31515,NULL,1016
171775,NULL,9651,NULL,NULL,NULL,12358,82
171881,NULL,15930,NULL,NULL,26213,NULL,283
171988,NULL,19390,NULL,NULL,NULL,22731,151
171997,NULL,17221,NULL,NULL,NULL,21516,270
172015,NULL,18594,NULL,NULL,NULL,22636,307
172033,NULL,NULL,NULL,NULL,NULL,NULL,154
172051,11596,NULL,NULL,NULL,17876,NULL,8687
172200,2833,NULL,NULL,NULL,8550,NULL,9535
172264,NULL,14292,NULL,NULL,31980,NULL,2325
172291,4460,NULL,NULL,NULL,10118,NULL,3588
172307,7803,NULL,NULL,NULL,13118,NULL,2419
172325,NULL,NULL,NULL,NULL,NULL,NULL,597
172334,NULL,13211,NULL,NULL,32709,NULL,2860
172422,15226,NULL,NULL,NULL,20625,NULL,200
172440,NULL,17567,NULL,NULL,29377,NULL,498
172477,NULL,NULL,NULL,NULL,NULL,NULL,NULL
172495,NULL,14611,NULL,NULL,NULL,17013,111
172608,NULL,NULL,NULL,NULL,NULL,NULL,967
172617,5164,NULL,NULL,NULL,10498,NULL,10172
172635,5020,NULL,NULL,NULL,10234,NULL,13713
172644,10544,NULL,NULL,NULL,20199,NULL,17789
172671,2033,NULL,NULL,NULL,7734,NULL,1167
172699,13575,NULL,NULL,NULL,22483,NULL,18755
172705,NULL,NULL,NULL,NULL,NULL,NULL,NULL
172802,NULL,6875,NULL,NULL,NULL,12240,45
172866,NULL,21629,NULL,NULL,26704,NULL,140
172918,11731,NULL,NULL,NULL,17952,NULL,1782
172927,NULL,7285,NULL,NULL,NULL,14750,136
172954,14690,NULL,NULL,NULL,19562,NULL,1992
172963,11256,NULL,NULL,NULL,16272,NULL,6585
173045,NULL,16471,NULL,NULL,42531,NULL,2661
173063,8463,NULL,NULL,NULL,13823,NULL,2509
173115,9158,NULL,NULL,NULL,14542,NULL,795
173124,9739,NULL,NULL,NULL,18166,NULL,4397
173142,NULL,11551,NULL,NULL,32531,NULL,552
173160,NULL,17677,NULL,NULL,42692,NULL,3178
173179,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173203,9131,NULL,NULL,NULL,14585,NULL,2601
173258,NULL,10300,NULL,NULL,58275,NULL,2023
173300,NULL,13114,NULL,NULL,39803,NULL,2464
173328,NULL,16946,NULL,NULL,40267,NULL,1927
173416,12863,NULL,NULL,NULL,17876,NULL,2641
173452,NULL,12558,NULL,NULL,20740,NULL,729
173461,12533,NULL,NULL,NULL,17179,NULL,3990
173470,NULL,14688,NULL,NULL,NULL,16769,33
173489,NULL,26716,NULL,NULL,29911,NULL,201
173559,9987,NULL,NULL,NULL,15188,NULL,4960
173629,NULL,21803,NULL,NULL,28684,NULL,845
173638,8991,NULL,NULL,NULL,14665,NULL,2165
173647,NULL,14989,NULL,NULL,48422,NULL,2439
173665,NULL,17186,NULL,NULL,43433,NULL,2108
173683,NULL,NULL,NULL,NULL,NULL,NULL,0
173708,13078,NULL,NULL,NULL,18165,NULL,5750
173726,NULL,13111,NULL,NULL,NULL,16769,37
173735,8104,NULL,NULL,NULL,13853,NULL,1186
173744,NULL,15182,NULL,NULL,NULL,19274,489
173799,9956,NULL,NULL,NULL,15152,NULL,4915
173805,9454,NULL,NULL,NULL,15255,NULL,1076
173887,NULL,23610,NULL,NULL,31098,NULL,1161
173896,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173902,NULL,12117,NULL,NULL,55393,NULL,2029
173911,9792,NULL,NULL,NULL,15134,NULL,2966
173920,9569,NULL,NULL,NULL,17578,NULL,12542
173939,NULL,19353,NULL,NULL,NULL,22487,137
173957,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173966,NULL,NULL,NULL,NULL,NULL,NULL,131
173984,NULL,17834,NULL,NULL,23047,NULL,1113
173993,5699,NULL,NULL,NULL,11634,NULL,986
174020,11410,NULL,NULL,NULL,18170,NULL,7322
174066,9535,NULL,NULL,NULL,24278,NULL,30271
174075,7918,NULL,NULL,NULL,21549,NULL,1813
174118,NULL,11605,NULL,NULL,18922,NULL,235
174127,NULL,21378,NULL,NULL,41935,NULL,683
174136,13910,NULL,NULL,NULL,18789,NULL,8938
174154,NULL,15326,NULL,NULL,22451,NULL,262
174190,NULL,13015,NULL,NULL,NULL,18296,138
174206,NULL,13404,NULL,NULL,25235,NULL,97
174233,8731,NULL,NULL,NULL,22796,NULL,9239
174251,8312,NULL,NULL,NULL,22853,NULL,1846
174279,NULL,20002,NULL,NULL,30125,NULL,896
174321,NULL,11861,NULL,NULL,NULL,15582,125
174358,10247,NULL,NULL,NULL,18028,NULL,5912
174376,14385,NULL,NULL,NULL,19425,NULL,6670
174385,NULL,18496,NULL,NULL,22631,NULL,369
174394,NULL,16646,NULL,NULL,23700,NULL,237
174428,12089,NULL,NULL,NULL,17455,NULL,7751
174437,NULL,18290,NULL,NULL,28800,NULL,1106
174473,9745,NULL,NULL,NULL,15429,NULL,2862
174482,NULL,NULL,NULL,NULL,NULL,NULL,NULL
174491,NULL,19962,NULL,NULL,37803,NULL,2038
174507,NULL,NULL,NULL,NULL,23983,NULL,113
174525,NULL,14407,NULL,NULL,25300,NULL,126
174534,NULL,19728,NULL,NULL,NULL,22621,112
174570,10931,NULL,NULL,NULL,15646,NULL,751
174604,7319,NULL,NULL,NULL,13190,NULL,204
174738,13377,NULL,NULL,NULL,18591,NULL,5291
174747,NULL,17144,NULL,NULL,47734,NULL,2051
174756,7068,NULL,NULL,NULL,12704,NULL,4422
174765,NULL,21187,NULL,NULL,NULL,24563,76
174783,10547,NULL,NULL,NULL,17892,NULL,11535
174792,NULL,14657,NULL,NULL,46397,NULL,1871
174817,NULL,15152,NULL,NULL,38470,NULL,1897
174844,NULL,12359,NULL,NULL,50550,NULL,3079
174862,NULL,18210,NULL,NULL,34574,NULL,1095
174899,NULL,16822,NULL,NULL,40685,NULL,2858
174914,NULL,24273,NULL,NULL,48421,NULL,6246
174978,NULL,11342,NULL,NULL,NULL,17171,148
175005,NULL,20606,NULL,NULL,43356,NULL,3479
175014,NULL,19166,NULL,NULL,25387,NULL,4742
175041,13735,NULL,NULL,NULL,18578,NULL,6083
175078,11075,NULL,NULL,NULL,19109,NULL,2426
175120,NULL,5293,NULL,NULL,NULL,10900,252
175139,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175157,9668,NULL,NULL,NULL,14819,NULL,515
175227,NULL,25943,NULL,NULL,31006,NULL,1065
175236,7493,NULL,NULL,NULL,13045,NULL,3329
175263,13736,NULL,NULL,NULL,19177,NULL,1875
175272,12048,NULL,NULL,NULL,20449,NULL,8079
175281,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175315,8267,NULL,NULL,NULL,13047,NULL,9484
175342,13419,NULL,NULL,NULL,20330,NULL,3157
175421,NULL,20407,NULL,NULL,33375,NULL,2487
175430,NULL,7385,NULL,NULL,16926,NULL,497
175494,NULL,13197,NULL,NULL,NULL,16844,97
175519,809,NULL,NULL,NULL,6136,NULL,1959
175528,NULL,22600,NULL,NULL,26145,NULL,485
175573,3566,NULL,NULL,NULL,8947,NULL,2859
175591,NULL,15685,NULL,NULL,NULL,19232,51
175607,NULL,4007,NULL,NULL,NULL,8566,50
175616,12639,NULL,NULL,NULL,17749,NULL,2638
175643,4715,NULL,NULL,NULL,10087,NULL,2323
175652,3961,NULL,NULL,NULL,9564,NULL,4364
175698,NULL,8708,NULL,NULL,NULL,13669,32
175722,NULL,5857,NULL,NULL,NULL,10932,40
175786,3410,NULL,NULL,NULL,8395,NULL,10946
175810,5000,NULL,NULL,NULL,9907,NULL,5911
175829,5457,NULL,NULL,NULL,10991,NULL,5477
175856,12846,NULL,NULL,NULL,18724,NULL,6880
175883,4372,NULL,NULL,NULL,9855,NULL,4443
175935,5608,NULL,NULL,NULL,11036,NULL,3601
175980,NULL,20933,NULL,NULL,44435,NULL,734
176008,3256,NULL,NULL,NULL,8165,NULL,2567
176017,10647,NULL,NULL,NULL,21526,NULL,16432
176026,NULL,NULL,NULL,NULL,NULL,NULL,699
176035,8970,NULL,NULL,NULL,15935,NULL,2252
176044,10105,NULL,NULL,NULL,17758,NULL,1856
176053,NULL,13866,NULL,NULL,25976,NULL,2895
176062,NULL,7231,NULL,NULL,NULL,11725,82
176071,6545,NULL,NULL,NULL,12021,NULL,10074
176080,14153,NULL,NULL,NULL,20796,NULL,16399
176169,5544,NULL,NULL,NULL,11011,NULL,3105
176178,3392,NULL,NULL,NULL,8243,NULL,7530
176239,144,NULL,NULL,NULL,5285,NULL,5170
176318,NULL,8033,NULL,NULL,14466,NULL,922
176336,NULL,3945,NULL,NULL,6753,NULL,37
176354,4804,NULL,NULL,NULL,10568,NULL,1933
176372,11555,NULL,NULL,NULL,18781,NULL,12371
176390,NULL,12313,NULL,NULL,NULL,16129,133
176406,NULL,10019,NULL,NULL,20179,NULL,877
176451,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176479,NULL,16428,NULL,NULL,23962,NULL,2166
176549,NULL,21187,NULL,NULL,25224,NULL,277
176600,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176619,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176628,NULL,16916,NULL,NULL,34898,NULL,1336
176637,NULL,20774,NULL,NULL,26033,NULL,602
176664,NULL,11271,NULL,NULL,16646,NULL,305
176716,NULL,12538,NULL,NULL,NULL,15994,90
176770,NULL,18730,NULL,NULL,24355,NULL,832
176789,NULL,13318,NULL,NULL,18781,NULL,251
176798,NULL,NULL,NULL,NULL,NULL,NULL,305
176910,NULL,11957,NULL,NULL,26620,NULL,297
176947,NULL,14783,NULL,NULL,32000,NULL,1104
176965,11830,NULL,NULL,NULL,18355,NULL,9160
176983,-1047,NULL,NULL,NULL,NULL,8576,90
176992,NULL,11127,NULL,NULL,NULL,14936,12
177038,NULL,NULL,NULL,NULL,38183,NULL,66
177056,13005,NULL,NULL,NULL,NULL,18810,78
177065,NULL,13118,NULL,NULL,17611,NULL,15498
177083,NULL,NULL,NULL,NULL,30766,NULL,90
177092,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177117,NULL,12363,NULL,NULL,26065,NULL,277
177126,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177135,4456,NULL,NULL,NULL,9341,NULL,4336
177144,NULL,12948,NULL,NULL,33741,NULL,809
177214,NULL,23806,NULL,NULL,32556,NULL,4001
177250,6047,NULL,NULL,NULL,11225,NULL,3113
177278,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177287,NULL,11397,NULL,NULL,NULL,15422,186
177302,NULL,20105,NULL,NULL,24933,NULL,555
177339,NULL,17851,NULL,NULL,30988,NULL,2071
177418,NULL,15848,NULL,NULL,30833,NULL,1242
177427,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177436,17770,NULL,NULL,NULL,22133,NULL,41
177472,7098,NULL,NULL,NULL,11118,NULL,13087
177542,NULL,13837,NULL,NULL,27560,NULL,921
177551,9819,NULL,NULL,NULL,15610,NULL,1266
177579,NULL,14979,NULL,NULL,21015,NULL,372
177588,NULL,10576,NULL,NULL,NULL,15170,38
177603,NULL,9633,NULL,NULL,NULL,14444,64
177676,5428,NULL,NULL,NULL,10234,NULL,4974
177685,NULL,9316,NULL,NULL,NULL,13479,38
177719,NULL,NULL,NULL,NULL,NULL,NULL,654
177746,NULL,20529,NULL,NULL,45824,NULL,735
177816,NULL,NULL,NULL,NULL,NULL,NULL,54
177834,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177870,2951,NULL,NULL,NULL,5719,NULL,13
177931,11481,NULL,NULL,NULL,NULL,17365,35
177940,8865,NULL,NULL,NULL,14906,NULL,2268
177968,NULL,19893,NULL,NULL,30193,NULL,7928
177977,7783,NULL,NULL,NULL,15178,NULL,1241
177986,NULL,NULL,NULL,NULL,NULL,NULL,49
177995,8019,NULL,NULL,NULL,12433,NULL,16645
178004,NULL,NULL,NULL,NULL,NULL,NULL,209
178059,NULL,22365,NULL,NULL,37968,NULL,2746
178077,NULL,15350,NULL,NULL,NULL,19081,107
178110,NULL,9944,NULL,NULL,16348,NULL,137
178183,NULL,18673,NULL,NULL,NULL,23512,179
178208,NULL,16785,NULL,NULL,19623,NULL,255
178217,6052,NULL,NULL,NULL,11179,NULL,3744
178226,NULL,24635,NULL,NULL,29479,NULL,298
178244,NULL,14598,NULL,NULL,30542,NULL,1710
178262,NULL,9516,NULL,NULL,NULL,13178,127
178305,NULL,17215,NULL,NULL,22730,NULL,547
178314,NULL,10331,NULL,NULL,NULL,15057,20
178341,7949,NULL,NULL,NULL,14143,NULL,5132
178350,NULL,NULL,NULL,NULL,28830,NULL,108
178369,NULL,14507,NULL,NULL,28754,NULL,1411
178387,8422,NULL,NULL,NULL,15242,NULL,4902
178396,12731,NULL,NULL,NULL,22387,NULL,26585
178402,15522,NULL,NULL,NULL,23437,NULL,8309
178411,11127,NULL,NULL,NULL,22102,NULL,6064
178420,9757,NULL,NULL,NULL,22474,NULL,8928
178448,7233,NULL,NULL,NULL,12188,NULL,4608
178466,NULL,NULL,NULL,NULL,NULL,NULL,154
178484,NULL,10265,NULL,NULL,NULL,13957,176
178518,NULL,NULL,NULL,NULL,NULL,NULL,NULL
178527,NULL,8209,NULL,NULL,NULL,12718,44
178606,NULL,NULL,NULL,NULL,NULL,NULL,13
178615,8600,NULL,NULL,NULL,19689,NULL,5482
178624,7263,NULL,NULL,NULL,17005,NULL,5274
178679,NULL,10835,NULL,NULL,18674,NULL,742
178697,NULL,11078,NULL,NULL,26813,NULL,1513
178721,NULL,11810,NULL,NULL,21351,NULL,9723
178767,NULL,17496,NULL,NULL,21834,NULL,172
178828,9745,NULL,NULL,NULL,NULL,15422,58
178891,NULL,17035,NULL,NULL,23593,NULL,2097
178989,NULL,NULL,NULL,NULL,NULL,NULL,281
179043,NULL,15955,NULL,NULL,40582,NULL,1682
179052,10687,NULL,NULL,NULL,NULL,17471,167
179070,NULL,20824,NULL,NULL,25923,NULL,303
179159,NULL,26163,NULL,NULL,52413,NULL,7961
179195,NULL,4060,NULL,NULL,NULL,8707,45
179201,NULL,NULL,NULL,NULL,NULL,NULL,216
179229,NULL,11290,NULL,NULL,NULL,16087,26
179238,14261,NULL,NULL,NULL,NULL,18500,71
179256,NULL,9608,NULL,NULL,28581,NULL,219
179265,NULL,NULL,NULL,NULL,39916,NULL,723
179308,6821,NULL,NULL,NULL,11846,NULL,21446
179317,NULL,NULL,NULL,NULL,NULL,NULL,NULL
179326,NULL,17216,NULL,NULL,28948,NULL,2515
179344,11987,NULL,NULL,NULL,16448,NULL,1648
179399,NULL,NULL,NULL,NULL,NULL,NULL,15
179450,NULL,NULL,NULL,NULL,NULL,NULL,375
179511,NULL,24716,NULL,NULL,NULL,28298,295
179539,5028,NULL,NULL,NULL,9929,NULL,4374
179548,NULL,21176,NULL,NULL,41309,NULL,646
179557,9220,NULL,NULL,NULL,17093,NULL,9382
179566,11559,NULL,NULL,NULL,19117,NULL,15746
179645,6672,NULL,NULL,NULL,12683,NULL,3087
179715,6273,NULL,NULL,NULL,12075,NULL,1220
179724,9648,NULL,NULL,NULL,NULL,13773,21
179742,NULL,NULL,NULL,NULL,NULL,NULL,NULL
179812,NULL,NULL,NULL,NULL,NULL,NULL,NULL
179867,NULL,7781,NULL,NULL,62594,NULL,6851
179894,NULL,16545,NULL,NULL,37363,NULL,3398
179919,NULL,21244,NULL,NULL,30945,NULL,399
179946,NULL,17450,NULL,NULL,33354,NULL,1022
179955,NULL,18266,NULL,NULL,42688,NULL,1044
179964,NULL,19207,NULL,NULL,33016,NULL,1001
179991,NULL,7678,NULL,NULL,NULL,11500,42
180054,NULL,10692,NULL,NULL,15055,NULL,448
180063,NULL,9641,NULL,NULL,NULL,13265,37
180081,8261,NULL,NULL,NULL,14096,NULL,628
180090,NULL,4044,NULL,NULL,NULL,9594,83
180106,NULL,19205,NULL,NULL,38575,NULL,1376
180151,5891,NULL,NULL,NULL,12338,NULL,266
180160,2873,NULL,NULL,NULL,9017,NULL,178
180179,10982,NULL,NULL,NULL,15753,NULL,4234
180197,7597,NULL,NULL,NULL,12769,NULL,1773
180203,10517,NULL,NULL,NULL,12189,NULL,134
180212,1717,NULL,NULL,NULL,8958,NULL,350
180249,8783,NULL,NULL,NULL,13562,NULL,1626
180258,NULL,15737,NULL,NULL,31310,NULL,1032
180276,10605,NULL,NULL,NULL,14664,NULL,1118
180328,9736,NULL,NULL,NULL,13463,NULL,309
180373,5402,NULL,NULL,NULL,10878,NULL,351
180391,NULL,7412,NULL,NULL,NULL,11260,45
180416,9150,NULL,NULL,NULL,16434,NULL,1825
180461,13215,NULL,NULL,NULL,18486,NULL,13055
180489,11134,NULL,NULL,NULL,17440,NULL,11630
180522,12843,NULL,NULL,NULL,17290,NULL,1250
180595,NULL,15505,NULL,NULL,32987,NULL,961
180647,NULL,11484,NULL,NULL,13301,NULL,809
180692,8530,NULL,NULL,NULL,14947,NULL,1452
180771,NULL,10798,NULL,NULL,NULL,18555,33
180814,NULL,20125,NULL,NULL,20250,NULL,6134
180832,NULL,15689,NULL,NULL,22322,NULL,778
180878,NULL,20493,NULL,NULL,26429,NULL,593
180902,6370,NULL,NULL,NULL,10671,NULL,4321
180948,8047,NULL,NULL,NULL,15402,NULL,2131
180957,NULL,9006,NULL,NULL,NULL,13073,116
180984,NULL,14035,NULL,NULL,33226,NULL,1185
181002,NULL,20492,NULL,NULL,46248,NULL,3943
181020,NULL,17693,NULL,NULL,36370,NULL,1111
181093,NULL,10984,NULL,NULL,27873,NULL,410
181127,NULL,16773,NULL,NULL,35673,NULL,1060
181145,NULL,NULL,NULL,NULL,NULL,NULL,22
181190,NULL,12351,NULL,NULL,NULL,16388,281
181215,11685,NULL,NULL,NULL,19212,NULL,5247
181242,NULL,19429,NULL,NULL,25840,NULL,471
181297,NULL,16035,NULL,NULL,23987,NULL,740
181303,7772,NULL,NULL,NULL,11490,NULL,7737
181312,4812,NULL,NULL,NULL,10126,NULL,1437
181330,NULL,19925,NULL,NULL,36214,NULL,1189
181376,NULL,15159,NULL,NULL,22658,NULL,150
181394,9311,NULL,NULL,NULL,16860,NULL,12153
181400,NULL,18087,NULL,NULL,24424,NULL,728
181419,7700,NULL,NULL,NULL,10728,NULL,191
181428,NULL,NULL,NULL,NULL,NULL,NULL,810
181446,NULL,17269,NULL,NULL,36429,NULL,1892
181464,11123,NULL,NULL,NULL,21024,NULL,19376
181491,6127,NULL,NULL,NULL,11324,NULL,2812
181534,10158,NULL,NULL,NULL,15207,NULL,1534
181604,NULL,16504,NULL,NULL,36592,NULL,691
181640,5715,NULL,NULL,NULL,10071,NULL,7512
181738,NULL,17326,NULL,NULL,30383,NULL,759
181756,NULL,15658,NULL,NULL,21473,NULL,330
181765,8671,NULL,NULL,NULL,15731,NULL,225
181783,8524,NULL,NULL,NULL,15002,NULL,2900
181792,NULL,NULL,NULL,NULL,NULL,NULL,8
181817,5274,NULL,NULL,NULL,11346,NULL,1478
181853,NULL,16674,NULL,NULL,26127,NULL,456
181880,NULL,13763,NULL,NULL,NULL,16926,154
181941,NULL,12045,NULL,NULL,NULL,15268,556
